titulo,fecha,idioma,region,tema,texto_original,transliteracion,traduccion,keywords
Divrigi Darussifa Notes,1228,Turco medieval / Persa médico,Anatolia Seljúcida,hidroterapia,Su sesi ile beden dengelenir,su sesi ile beden dengelenir,El cuerpo se equilibra con el sonido del agua,agua hidroterapia equilibrio cuerpo
Seljuk Herbal Fragment,1235,Turco medieval,Anatolia,botánica médica,Ot kaynatilir ve hasta icirilir,ot kaynatilir ve hasta icirilir,La hierba es hervida y dada al paciente,hierba hervir medicina paciente
Persian Medical Treatise,1240,Persa médico,Persia / Anatolia,medicina femenina,Dard va garmayi ba giyahan darmān shavad,dard va garmayi ba giyahan darman shavad,El dolor y el calor son tratados con hierbas,dolor calor hierbas medicina
Astrological Healing Notes,1250,Árabe médico,Anatolia,astrología médica,Al-shams yuaththir ala al-badan,al shams yuaththir ala al badan,El sol influye sobre el cuerpo,sol cuerpo astrologia medicina
Divrigi Darussifa Hydrotherapy Fragment,1228,Turco medieval / Persa médico,Anatolia Seljúcida,hidroterapia médica,Su ile beden arinir ve dard azalir,su ile beden arinir ve dard azalir,Con agua el cuerpo se purifica y el dolor disminuye,agua cuerpo purificacion dolor hidroterapia medicina
Seljuk Women's Medicine Fragment,1230,Turco medieval,Anatolia,medicina femenina,Ay devri ve beden harareti ot ile dengelenir,ay devri ve beden harareti ot ile dengelenir,El ciclo lunar y el calor corporal se equilibran con hierbas,luna ciclo cuerpo calor hierbas medicina femenina
Seljuk Herbal Preparation Fragment,1235,Turco medieval,Anatolia,preparacion herbal,Ot kaynatilir su ile karistirilir,ot kaynatilir su ile karistirilir,La hierba se hierve y se mezcla con agua,hierba hervir agua mezcla preparacion medicina
Persian Gynecological Note,1245,Persa médico,Persia / Anatolia,ginecologia medieval,Dard va gardesh ba giyah va ab darmān shavad,dard va gardesh ba giyah va ab darman shavad,El dolor y el ciclo son tratados con hierba y agua,dolor ciclo hierba agua tratamiento ginecologia
Astrological Medicine Lunar Fragment,1250,Árabe médico / Persa,Anatolia,astrologia medica,Al-qamar wa al-shams yuaththiran fi badan al-marid,al qamar wa al shams yuaththiran fi badan al marid,La luna y el sol influyen en el cuerpo del paciente,luna sol cuerpo paciente astrologia medicina
Medieval Tincture Preparation,1260,Persa médico / Turco medieval,Anatolia,farmacopea,Rangin darman su va ot ile hazirlanir,rangin darman su va ot ile hazirlanir,La tintura medicinal se prepara con agua y hierbas,tintura medicina agua hierbas preparacion
